yıl;ay;kart_tipi;kart_kullanim_sayisi
2020;subat;ENGELLİ REFAKATLİ;182
2020;subat;GÖRME ENGELLİ;1954
2020;subat;GÖRME ENGELLİ REFAKATLİ;1030
2020;subat;İNDİRİMLİ;3555824
2020;subat;KAMU;2859
2020;subat;MUHTAR;847
2020;subat;SOSYAL KART;48897
2020;subat;TAM ABONMAN;407506
2020;subat;TAM KART;2495617
2020;mart;65 YAŞ ÜSTÜ;352469
2020;mart;DİĞER;280119
2020;mart;BASIN;4812
2020;mart;ENGELLİ;3803
2020;mart;ENGELLİ REFAKATLİ;246
2020;mart;GÖRME ENGELLİ;1490
2020;mart;GÖRME ENGELLİ REFAKATLİ;702
2020;mart;İNDİRİMLİ;2320656
2020;mart;KAMU;2053
2020;mart;MUHTAR;574
2020;mart;SOSYAL KART;40347
2020;mart;TAM ABONMAN;320906
2020;mart;TAM KART;1844638
2020;nisan;65 YAŞ ÜSTÜ;4704
2020;nisan;DİĞER;87205
2020;nisan;BASIN;1397
2020;nisan;ENGELLİ;1425
2020;nisan;ENGELLİ REFAKATLİ;43
2020;nisan;GÖRME ENGELLİ;421
2020;nisan;GÖRME ENGELLİ REFAKATLİ;168
2020;nisan;İNDİRİMLİ;131600
2020;nisan;KAMU;598
2020;nisan;MUHTAR;108
2020;nisan;SOSYAL KART;19736
2020;nisan;TAM ABONMAN;101178
2020;nisan;TAM KART;519960
2020;mayis;65 YAŞ ÜSTÜ;6455
2020;mayis;DİĞER;81141
2020;mayis;BASIN;1128
2020;mayis;ENGELLİ;1441
2020;mayis;ENGELLİ REFAKATLİ;52
2020;mayis;GÖRME ENGELLİ;402
2020;mayis;GÖRME ENGELLİ REFAKATLİ;168
2020;mayis;İNDİRİMLİ;130778
2020;mayis;KAMU;612
2020;mayis;MUHTAR;89
2020;mayis;SOSYAL KART;19509
2020;mayis;TAM ABONMAN;75259
2020;mayis;TAM KART;488131
2020;haziran;65 YAŞ ÜSTÜ;139660
2020;haziran;DİĞER;204093
2020;haziran;BASIN;3166
2020;haziran;ENGELLİ;3964
2020;haziran;ENGELLİ REFAKATLİ;138
2020;haziran;GÖRME ENGELLİ;1109
2020;haziran;GÖRME ENGELLİ REFAKATLİ;525
2020;haziran;İNDİRİMLİ;628729
2020;haziran;KAMU;1713
2020;haziran;MUHTAR;286
2020;haziran;SOSYAL KART;33184
2020;haziran;TAM ABONMAN;188050
2020;haziran;TAM KART;1274527
2020;temmuz;65 YAŞ ÜSTÜ;237590
2020;temmuz;DİĞER;206597
2020;temmuz;BASIN;3074
2020;temmuz;ENGELLİ;4351
2020;temmuz;ENGELLİ REFAKATLİ;148
2020;temmuz;GÖRME ENGELLİ;1232
2020;temmuz;GÖRME ENGELLİ REFAKATLİ;515
2020;temmuz;İNDİRİMLİ;798668
2020;temmuz;KAMU;1679
2020;temmuz;MUHTAR;216
2020;temmuz;SOSYAL KART;36187
2020;temmuz;TAM ABONMAN;197011
2020;temmuz;TAM KART;1431808
2020;agustos;65 YAŞ ÜSTÜ;134072
2020;agustos;DİĞER;180163
2020;agustos;BASIN;2710
2020;agustos;ENGELLİ;4481
2020;agustos;ENGELLİ REFAKATLİ;169
2020;agustos;GÖRME ENGELLİ;950
2020;agustos;GÖRME ENGELLİ REFAKATLİ;433
2020;agustos;İNDİRİMLİ;685130
2020;agustos;KAMU;1454
2020;agustos;MUHTAR;304
2020;agustos;SOSYAL KART;30981
2020;agustos;TAM ABONMAN;178234
2020;agustos;TAM KART;1296561
2020;eylul;65 YAŞ ÜSTÜ;47607
2020;eylul;DİĞER;196195
2020;eylul;BASIN;2833
2020;eylul;ENGELLİ;5571
2020;eylul;ENGELLİ REFAKATLİ;147
