tarih,tuketilen su miktari (m3)
2004-12-31,42282067
2005-12-31,41561123
2006-12-31,44170976
2007-12-31,41617645
2008-12-31,43224677
2009-12-31,44286834
2010-12-31,46613468
2011-12-31,48932583
2012-12-31,52493964
