ilceler;elk._kontak;lpg_d.gaz_vb.;ocak_sob._kalo._kaz.;baca_tut.;sig._ve_kibr.;akary.;pat._madd.;yıld._dus.;sabotaj;diger;anlasılamadı;tplm
SELÇUKLU;155;7;20;25;533;15;0;0;18;31;0;804
MERAM;133;4;34;17;301;4;1;0;7;16;0;517
KARATAY;75;11;18;24;441;3;0;0;15;23;0;610
SANCAK;0;0;0;0;0;0;0;0;0;0;0;0
AKÖREN;2;0;0;2;24;0;0;0;0;7;0;35
AKŞEHİR;35;2;10;28;0;0;0;0;4;449;0;528
ALTINEKİN;3;0;2;1;8;0;0;1;0;56;0;71
BEYŞEHİR;8;5;6;7;17;0;1;1;18;342;0;405
BOZKIR;6;0;0;4;14;0;0;0;0;14;0;38
CİHANBEYLİ;13;0;4;9;3;0;0;0;1;72;0;102
ÇELTİK;12;0;1;1;68;0;0;0;0;13;0;95
ÇUMRA;36;2;17;5;121;3;0;0;1;26;0;211
DERBENT;1;0;0;0;0;0;0;0;0;36;0;37
DEREBUCAK;0;0;0;1;12;0;0;0;0;1;0;14
DOĞANHİSAR;6;0;3;1;120;0;0;0;2;17;0;149
EMİRGAZİ;6;0;0;1;17;0;0;0;0;8;0;32
EREĞLİ;40;5;12;21;220;5;0;1;3;143;0;450
GÜNEYSINIR;5;0;3;0;36;0;3;0;0;10;0;57
HADİM;1;0;1;4;10;0;0;0;1;30;0;47
HÜYÜK;3;0;0;3;0;0;0;0;0;114;0;120
ILGIN;23;2;18;4;171;0;0;0;3;40;0;261
KADINHANI;25;0;7;7;161;7;0;0;0;40;0;247
KARAPINAR;40;2;4;5;47;3;0;1;7;63;0;172
KULU;0;0;0;0;0;0;0;0;0;240;0;240
SARAYÖNÜ;12;1;3;4;34;0;0;0;5;73;0;132
SEYDİŞEHİR;2;0;0;1;0;0;1;0;0;267;0;271
TAŞKENT;1;0;3;1;1;0;0;0;0;7;0;13
YALIHÜYÜK;3;1;4;4;0;0;0;0;0;43;0;55
YUNAK;6;1;5;2;101;0;0;0;3;25;0;143
