tarih;saat;yukleme_adedi;yukleme_yapilan_kart_adedi
2020-01-01;0;75;75
2020-01-01;1;13;13
2020-01-01;2;4;4
2020-01-01;3;2;2
2020-01-01;5;3;3
2020-01-01;6;31;30
2020-01-01;7;587;582
2020-01-01;8;790;781
2020-01-01;9;846;827
2020-01-01;10;1186;1174
2020-01-01;11;1762;1734
2020-01-01;12;2307;2267
2020-01-01;13;2307;2286
2020-01-01;14;2319;2272
2020-01-01;15;2329;2284
2020-01-01;16;2645;2583
2020-01-01;17;2615;2566
2020-01-01;18;2277;2251
2020-01-01;19;1759;1734
2020-01-01;20;1276;1261
2020-01-01;21;928;912
2020-01-01;22;669;659
2020-01-01;23;290;283
2020-01-02;0;81;80
2020-01-02;1;15;15
2020-01-02;2;12;12
2020-01-02;3;2;2
2020-01-02;4;1;1
2020-01-02;5;5;5
2020-01-02;6;179;178
2020-01-02;7;2758;2735
2020-01-02;8;3123;3092
2020-01-02;9;1998;1975
2020-01-02;10;1800;1773
2020-01-02;11;2346;2319
2020-01-02;12;3051;3014
2020-01-02;13;2901;2865
2020-01-02;14;2616;2575
2020-01-02;15;3591;3548
2020-01-02;16;3601;3546
2020-01-02;17;3258;3210
2020-01-02;18;2797;2773
2020-01-02;19;2167;2139
2020-01-02;20;1424;1404
2020-01-02;21;925;916
2020-01-02;22;655;644
2020-01-02;23;280;277
2020-01-03;0;66;66
2020-01-03;1;13;13
2020-01-03;2;3;3
2020-01-03;3;3;3
2020-01-03;5;5;5
2020-01-03;6;129;129
2020-01-03;7;2400;2387
2020-01-03;8;2619;2597
2020-01-03;9;1779;1759
2020-01-03;10;1652;1634
2020-01-03;11;2001;1975
2020-01-03;12;2637;2606
2020-01-03;13;2171;2152
2020-01-03;14;2749;2708
2020-01-03;15;3246;3198
2020-01-03;16;3494;3441
2020-01-03;17;2902;2858
2020-01-03;18;2753;2711
2020-01-03;19;2092;2069
2020-01-03;20;1355;1337
2020-01-03;21;930;914
2020-01-03;22;713;702
2020-01-03;23;277;273
2020-01-04;0;72;71
2020-01-04;1;8;8
2020-01-04;2;2;2
2020-01-04;3;3;3
2020-01-04;5;1;1
2020-01-04;6;49;46
2020-01-04;7;958;948
2020-01-04;8;1670;1657
2020-01-04;9;1524;1507
2020-01-04;10;1552;1532
2020-01-04;11;2237;2211
2020-01-04;12;3080;3039
2020-01-04;13;3230;3181
2020-01-04;14;3029;2982
2020-01-04;15;2934;2891
2020-01-04;16;3141;3083
2020-01-04;17;3164;3118
2020-01-04;18;2625;2571
2020-01-04;19;1968;1931
2020-01-04;20;1309;1288
2020-01-04;21;787;777
2020-01-04;22;695;681
2020-01-04;23;342;340
2020-01-05;0;74;74
2020-01-05;1;9;8
2020-01-05;2;4;4
2020-01-05;3;1;1
2020-01-05;4;1;1
2020-01-05;5;4;4
2020-01-05;6;7;7
2020-01-05;7;182;180
2020-01-05;8;596;591
2020-01-05;9;813;804
2020-01-05;10;947;934
2020-01-05;11;1663;1649
2020-01-05;12;2379;2343
2020-01-05;13;2659;2629
2020-01-05;14;2724;2682
2020-01-05;15;2763;2720
2020-01-05;16;2754;2705
2020-01-05;17;2721;2686
2020-01-05;18;2378;2334
2020-01-05;19;1796;1776
2020-01-05;20;1392;1373
2020-01-05;21;999;988
2020-01-05;22;770;753
2020-01-05;23;356;353
2020-01-06;0;108;108
2020-01-06;1;28;27
2020-01-06;2;8;8
2020-01-06;4;4;4
2020-01-06;5;3;3
2020-01-06;6;188;188
2020-01-06;7;3880;3859
2020-01-06;8;4046;4012
2020-01-06;9;2678;2651
2020-01-06;10;2477;2458
2020-01-06;11;2948;2913
2020-01-06;12;3424;3387
2020-01-06;13;3119;3083
2020-01-06;14;2817;2777
2020-01-06;15;3767;3734
2020-01-06;16;3567;3526
2020-01-06;17;3132;3097
2020-01-06;18;2686;2660
2020-01-06;19;2134;2109
2020-01-06;20;1358;1345
2020-01-06;21;864;853
2020-01-06;22;620;608
2020-01-06;23;295;294
2020-01-07;0;61;61
2020-01-07;1;23;23
2020-01-07;2;5;5
2020-01-07;3;6;6
2020-01-07;4;2;2
2020-01-07;5;7;7
2020-01-07;6;128;127
2020-01-07;7;2336;2324
2020-01-07;8;2879;2859
2020-01-07;9;2112;2093
2020-01-07;10;2114;2100
2020-01-07;11;2410;2376
2020-01-07;12;3106;3075
2020-01-07;13;2934;2909
2020-01-07;14;2699;2670
2020-01-07;15;3592;3558
2020-01-07;16;3573;3538
2020-01-07;17;3001;2961
2020-01-07;18;2589;2555
2020-01-07;19;2146;2125
