tarih;saat;yukleme_adedi;yukleme_yapilan_kart_adedi
2019-01-01;0;67;65
2019-01-01;1;10;9
2019-01-01;2;1;1
2019-01-01;3;3;3
2019-01-01;4;1;1
2019-01-01;5;6;6
2019-01-01;6;28;28
2019-01-01;7;493;488
2019-01-01;8;676;670
2019-01-01;9;776;766
2019-01-01;10;1026;1015
2019-01-01;11;1699;1676
2019-01-01;12;2094;2062
2019-01-01;13;2114;2089
2019-01-01;14;2182;2158
2019-01-01;15;2182;2160
2019-01-01;16;2287;2250
2019-01-01;17;2476;2457
2019-01-01;18;2446;2424
2019-01-01;19;1631;1607
2019-01-01;20;1062;1054
2019-01-01;21;928;918
2019-01-01;22;609;603
2019-01-01;23;323;322
2019-01-02;0;37;37
2019-01-02;1;8;8
2019-01-02;2;3;3
2019-01-02;3;6;6
2019-01-02;4;3;3
2019-01-02;6;171;170
2019-01-02;7;2483;2468
2019-01-02;8;2970;2940
2019-01-02;9;1903;1890
2019-01-02;10;1610;1597
2019-01-02;11;2085;2061
2019-01-02;12;2837;2813
2019-01-02;13;2390;2361
2019-01-02;14;2652;2625
2019-01-02;15;3456;3423
2019-01-02;16;3583;3555
2019-01-02;17;3245;3215
2019-01-02;18;2819;2794
2019-01-02;19;2014;1995
2019-01-02;20;1304;1292
2019-01-02;21;990;977
2019-01-02;22;624;616
2019-01-02;23;279;277
2019-01-03;0;41;41
2019-01-03;1;6;6
2019-01-03;2;1;1
2019-01-03;4;1;1
2019-01-03;5;1;1
2019-01-03;6;109;108
2019-01-03;7;2028;2014
2019-01-03;8;2671;2652
2019-01-03;9;1712;1699
2019-01-03;10;1766;1739
2019-01-03;11;2048;2018
2019-01-03;12;2846;2821
2019-01-03;13;2449;2425
2019-01-03;14;2496;2462
2019-01-03;15;3344;3309
2019-01-03;16;3300;3265
2019-01-03;17;2981;2942
2019-01-03;18;2706;2678
2019-01-03;19;1976;1958
2019-01-03;20;1317;1308
2019-01-03;21;920;913
2019-01-03;22;593;589
2019-01-03;23;252;250
2019-01-04;0;38;38
2019-01-04;1;6;6
2019-01-04;2;4;4
2019-01-04;3;2;2
2019-01-04;4;3;3
2019-01-04;5;1;1
2019-01-04;6;99;99
2019-01-04;7;1943;1931
2019-01-04;8;2200;2178
